smiles,PCBA-1030,PCBA-1458,PCBA-1460,PCBA-2546,PCBA-2551,PCBA-485297,PCBA-485313,PCBA-485364,PCBA-504332,PCBA-504333,PCBA-504339,PCBA-504444,PCBA-504467,PCBA-588342,PCBA-624296,PCBA-624297,PCBA-624417,PCBA-651965,PCBA-652104,PCBA-686970,PCBA-686978,PCBA-686979,PCBA-720504
ClCCN(CCCl)c1ccc(-n2cnc3c(Cl)ncnc32)cc1,,,,,,,,,,,,,,,,1.0,,,0.0,,,,
CCOc1cccc(CNc2ccc(O)cc2)c1OCc1ccc(Cl)cc1Cl,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,
COc1ccccc1/C=C/CN1CCSCC1,,,,,,,,,,1.0,1.0,,,,0.0,,0.0,,,,,,
Cc1ccc(C)c(N2CCN(c3nnnn3-c3ccccc3)CC2)c1,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,
O=C1CC(SC(=S)C2CCCC2=O)C(=O)N1,,,,,,,,,,,,,,,,,,,,,,,1.0
COC(=O)CNC(=O)COC(=O)c1ccc(OC)c([N+](=O)[O-])c1,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,,,
CN1CCN(NC(=S)NC(C)(C)CC(C)(C)C)CC1,,,,1.0,1.0,,0.0,0.0,0.0,,,,,,,,,,,,,,
Cc1noc(C)c1CSc1nc2ccccc2n1CCc1ccccc1,1.0,0.0,,,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,
CC1CCN(CCC(=O)N/N=C/c2ccc([N+](=O)[O-])cc2)CC1,,0.0,,,,,,,0.0,,,,,,,,0.0,,,,,,
COc1ccc(N2C(=O)CC(NNC(=O)c3ccco3)C2=O)cc1,0.0,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,
C[n+]1ccccc1C1CCCC/C1=N\Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],,,,,,,,,,,,,,,,0.0,,,,,0.0,,
O=C(COC(=O)C1CC(O)CN1S(=O)(=O)c1ccc(Cl)cc1)c1ccccc1Cl,1.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0
CCOc1ccc(S(=O)(=O)N(CC(=O)N/N=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)c2ccccc2)cc1,,,,,,,,,,1.0,1.0,,,0.0,1.0,1.0,,,,1.0,,,
CC(C)(C)[C@H](N)C(=O)N[C@H]1CCC2C3CC=C4C[C@@H](O)CC[C@]4(C)C3CC[C@@]21C,,,,,,,,,,,,,,,,1.0,,,,,,,
COc1ccc(NC(=O)c2ccc(S(=O)(=O)N(C)c3ccccc3)cc2)cn1,,,,,,,,,,,,,1.0,,,0.0,,,,,,,
CC(NC(=O)C1(S(=O)(=O)c2ccc(Cl)cc2)CC1)c1ccccc1,,,,,,,,,,,,,,,,,,,,,0.0,,
CCOc1ccc2[nH]c(=O)c(C(c3nnnn3Cc3ccco3)N3CCN(C)CC3)cc2c1,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
O=C(O)c1cccc(S(=O)(=O)Nc2cccc(S(=O)(=O)Nc3ccc(Br)cc3)c2)c1,,,,,,,,0.0,,0.0,,,,,,,,,,,,,
CCCCCCn1cnc2c(oc3nc4c(cc32)CCCC4)c1=O,,,,,,1.0,,0.0,,0.0,,,,,,,,,,,,,
Cc1cc(C(=O)CN2C(=O)c3cccc(N)c3C2=O)c(C)n1Cc1cccs1,,1.0,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,1.0
COc1cc(OC)c(C=O)c(OC(=O)N(C)C)c1,,,,,,,,,,,,,,,,,,,0.0,,,,
O=C(O)C1C2C=CC(O2)C1C(=O)Nc1ccc(S(=O)(=O)N2CCc3ccccc32)cc1,,,,,,,,,,,,,,,,,,,,,0.0,,
Cc1cc(C)cc(CC(Cc2nc3ccccc3[nH]2)c2nc3ccccc3[nH]2)c1,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,
NC(=O)c1c(NC(=O)c2cccnc2)sc2c1CCCCC2,,,,,,1.0,1.0,,,0.0,,,,1.0,,,,,,,,,
COc1cc(C2C(C#N)=C(N)N(Nc3ccccc3)C3=C2C(=O)CC(C)(C)C3)ccc1OCc1ccccc1,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,
CCOc1ccccc1N1CC(C(=O)N2CCc3ccccc3C2)CC1=O,,,,,,,,,,,1.0,,,0.0,0.0,0.0,,,,,1.0,,1.0
COc1ccc(OC)c(/C=N/N(C)c2ccccc2)c1,,,1.0,,,1.0,,,1.0,1.0,1.0,,,1.0,,,,0.0,,,,,
Nc1ccc(N2CCN(c3ncc(C(F)(F)F)cc3Cl)CC2)c(C(F)(F)F)c1,,,,,,,,,,,,,,,,,,,1.0,,,,
CN(CC(=O)Nc1ccccc1C(F)(F)F)C(=O)c1ccc(-c2ccc(Cl)cc2)o1,,,,,,,,,,,,,,,,,,,,0.0,,,
CCN(CC)C1=CC(=O)/C(=C/NN2CCOCC2)C=C1,,1.0,,,,1.0,,0.0,,,,,,1.0,,,,,,,,0.0,0.0
Cc1ccc(CSc2cn(CC(=O)N3CCCC3)c3ccccc23)cc1,,,,,,,,0.0,,,,,,,,,,,,,,,
Cc1ccc(C(=O)/C=C/c2ccc(-c3ccc(C)cc3)o2)cc1,,,,,,,,,,,,,,,,,,,,,,1.0,
Cn1ncc([N+](=O)[O-])c1C(=O)Nc1ccc2c(c1)OCCO2,,,,,,,,,,,,,,,,0.0,0.0,1.0,,,,,
Clc1cccc(-c2nnc(-c3ccccc3)o2)c1,,1.0,0.0,,0.0,1.0,1.0,0.0,,,0.0,,,1.0,1.0,,,,,,,,
O=C(NNc1nc2c(F)cccc2s1)c1cc(=O)c2ccccc2o1,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,
CN(C)c1cccc(O)c1,,,,,,,,,,,,,,,,,,,,,,0.0,
Brc1ccc(Nc2c3c(nc4ncnn24)CCC3)cc1,,,,,,,,,,,,,,,,,,,1.0,,,,
Cc1nc2sccn2c1-c1csc(NCc2ccccc2)n1,,,,,,,,,,,,1.0,0.0,,,,,,,,,,
COc1ccc(N/C=C2\C(=O)NC(=O)N(Cc3cccs3)C2=O)cc1,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,
Cc1cccc(N2C(=O)C(Cl)=C(N3CCOCC3)C2=O)c1,,,1.0,,0.0,0.0,0.0,1.0,,,,0.0,0.0,,,,,0.0,,,,,
COC(=O)CCCC1=CC2=C(c3ccccc3)C(=O)C(C)(OC(=O)C3CCCC3)C(=O)C2=CN1Cc1ccco1,,,,,,,,1.0,,1.0,,,,,,,0.0,,0.0,,,,
Cc1c(Br)c([N+](=O)[O-])nn1C(C)C(=O)N1CCCc2ccccc21,,,,,,,,,,,,,,,,,1.0,0.0,,,,,0.0
CC(C)CCN1C(=O)c2ccc(C(=O)NCC3CCCO3)cc2C1=O,1.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,
Cc1ccc(C(=O)/C=C/Nc2ccccc2C(N)=O)o1,,1.0,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,
CCc1ccc2nc(N3CCC(C(=O)N4CCC5(CC4)OCCO5)CC3)sc2c1,0.0,,,,,,,,,,,,,1.0,,0.0,,,,,,1.0,
Cc1ccc(-c2csc3ncnc(-n4nnc5ccccc54)c23)cc1C,,,,,,,,,,,,,,,,,,,,,,1.0,
COC(=O)/C=C/c1ccsc1NC(C)=O,,,,,,,,,,,,,,,,1.0,,,,,0.0,,
COc1ccc(S(=O)(=O)N2CCOCC2)cc1C(=O)Nc1ccc(N2CCCCCC2)cc1,,,,,,,,,,,,,,,,,1.0,0.0,,,1.0,,
CCOC(=O)c1sc2nc(C3CC3)cc(-c3ccc(OC)cc3)c2c1N,,,,,,,,,,,,,,,,1.0,,,,0.0,,,
O=C(CNc1cc(S(=O)(=O)N2CCCC2)ccc1OCC(F)(F)F)Nc1cccc(C(F)(F)F)c1,,,,,0.0,,,,,,,1.0,,,,,,,,,,,
O=C(NNC(=S)Nc1ccccc1)c1ccccc1,,1.0,,,0.0,1.0,1.0,,,,,,,,0.0,,,,,,,,
CCCCCSc1cc(OC)c(CCN(C)C)cc1OC,,,,,,,,,,1.0,,,,,,,,0.0,,,,,
CC/N=c1\scc(-c2ccco2)n1NC=C1C=CC(=O)C=C1,1.0,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,,,,1.0,,0.0,,
COc1cc(SC)ccc1C(=O)Nc1nc(C)cs1,,,,1.0,1.0,,,,,0.0,,,,,,,1.0,,,,,,
COc1ccc(CN(Cc2ccco2)S(=O)(=O)c2ccc(S(=O)(=O)N3CCCC3)cc2)cc1,,,,,,0.0,,,,,,,,,,,,,,,,,
O=C(Cc1ccccc1)NCC(=O)N/N=C/c1ccc([N+](=O)[O-])s1,,,,,,,,,,,,,,,,1.0,,,,,,,
N#CCCn1c(=O)c(CCc2ccccc2)nc2cnc(Nc3ccccc3)nc21,,,,,0.0,,,,,,,,,,,,,,,,,,
CN1CCN(C(=O)/C=C/c2ccc([N+](=O)[O-])o2)CC1,,,,,,,,,,,,,,,1.0,0.0,,,,,,1.0,
Cc1cc(-c2nc(-c3ccncc3)no2)ccc1[N+](=O)[O-],,,,,,1.0,1.0,,,0.0,,,,,,,,,1.0,,,,
NC(=O)c1ccccc1NC(=S)NC(=O)CCc1ccccc1,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,1.0
Cn1ncc(Br)c1C(=O)OCC(=O)Nc1nc(-c2ccccc2)cs1,,1.0,,,,,,,,,,,,0.0,,,,,0.0,,,,
Cc1ccccc1C(=O)OCCN1CCOCC1,,,,,,,,,,,,,,,,,,,,,,,0.0
CCOC(=O)c1c(NC(=O)Cn2cnc3sc(C)c(-c4ccccc4)c3c2=O)sc(C)c1C,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,0.0,,0.0
COc1ccc(-c2noc(=O)n2Cc2ccc(F)cc2Cl)cc1,,,,,,,,,,,,0.0,,,,,,,,,0.0,,
CCOc1ccc(CC(=O)Nc2c(C(=O)c3ccc(C)cc3)oc3ccccc23)cc1OCC,,,,,,,,,,0.0,,,,,,,,,,,,,
O=C(O)c1ccc(/C=N/N2CCN(c3ccccc3)CC2)cc1,,,,,,,,,,,,,,1.0,,,,,,,,,
O=C(NC1CCCC1)c1cc2c(ccc3ccccc32)o1,,1.0,,0.0,0.0,1.0,1.0,,,,,,,1.0,,,,,,,,,
C=C(C)n1c(=O)n(Cc2ccccc2C)c2ccccc21,,,,,,,,,,,,,,,,,,,1.0,,,,
CCN(CC)c1ccc(/C=N/N2CCN(c3ccccn3)CC2)cc1,,,1.0,,0.0,,,,,0.0,,0.0,,0.0,,,,,,0.0,,,
Cc1ccc(NC(=O)Cn2c([N+](=O)[O-])cnc2C)cc1Cl,,,,,,,,,,,,,,0.0,,,,,,,,,
O=C(NNC(=O)c1cc2ccccc2cc1O)Nc1ccc(Br)cc1,,,,,,,,,,,,,,,,,,1.0,,,,0.0,
Clc1ccc(-c2nc3nc4ccccc4nc3n2Cc2ccco2)cc1,,1.0,,,0.0,0.0,,1.0,0.0,,,,,,0.0,,,0.0,,,,,
Cc1cc(C(=O)Nc2sc3c(c2C#N)CCC(C)C3)cs1,,1.0,,,,1.0,1.0,0.0,,0.0,,,,,,,,1.0,,,,,
Cc1cc(N2CCC(C)CC2)nc(NCc2ccccc2)n1,,,,,,,,,0.0,,,,,,,1.0,,,,,,,
O=C1CCN(Cc2ccccc2)S(=O)(=O)c2ccccc21,,,,,,,,1.0,,,,,,,,,,,,,,,
C=Cc1c(C)c2cc3[n-]c(c(CCC(=O)[O-])c3C)c3c4[n-]c(cc5[n-]c(cc1[n-]2)c(C)c5CC)c(C)c4C(=O)C3C(=O)[O-].[Cu],,,1.0,,,,,,,,,,,,,,,,,,,,
CN1C(=O)[C@H]2[C@@H](C1=O)[C@@H](/C=C/c1ccccc1)N1C(=O)CN(Cc3ccc(-c4ccccc4)cc3)C(=O)[C@@]21Cc1ccccc1,,,,,,,0.0,,,,,,,,,,,,,,,,
O=C(Nc1ccccc1)Nc1ccc(Oc2cccnc2)nc1,,,,,,,,,,,,,,,,,,,,,1.0,,
O=C(CSc1nc2[nH][nH]cc-2c(=O)n1)Nc1ccc(Cl)c(Cl)c1,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,0.0,,
CCC(C(=O)O)N1C(=O)/C(=C/C(C)=C/c2ccccc2)SC1=S,,,1.0,,,,,,,,,,,,,,,,,,,,1.0
CCc1ccc(OCC(=O)N(C)C2CCS(=O)(=O)C2)cc1,0.0,0.0,0.0,,,0.0,,,,0.0,,,,,0.0,,,,,,,,
COCCn1c(SCC(=O)N2CCCCC2)nc2c([nH]c3ccccc32)c1=O,,,,,,,,,,,,,1.0,,,,,,,,,,
COc1ccc(N2CCN(C(=O)CSc3ncnc4scc(-c5ccc(C)cc5)c34)CC2)cc1,,,,,,,,,,,,,,,,,,,1.0,,,,
Cc1ccc(NC(=O)CO/N=C/c2ccccc2C)c(C)c1,0.0,,,,,,,,0.0,,,,0.0,,,,,,,,,,
COc1ccc(C2c3c(oc4ccc(Cl)cc4c3=O)C(=O)N2Cc2ccco2)cc1OC,,,,,,,0.0,,,,,,,0.0,,,,,,,,,
C=C(C)CNC(=S)NNC(=O)c1ccco1,,,,1.0,,,,,,,,,,,,1.0,0.0,,,1.0,,,
O=[N+]([O-])c1ccccc1-c1ccc(/C=N/n2cnnc2)o1,0.0,,,0.0,,,,,0.0,,0.0,,,0.0,0.0,,,,,,,,
CC(C)NC(=O)Cn1nnc(-c2ccc(Cl)cc2)n1,,,1.0,,0.0,,,,,,,,,0.0,,,,,,,,,
CCOc1ccc(N(CC(=O)NC2CCCCCC2)S(=O)(=O)c2ccccc2)cc1,,,,,,,,,,,,,,,,,,,,,,,0.0
CCOc1ccc(/C=C/c2nc(C#N)c(NCCCN(C)C)o2)cc1,,,,,,,,,,,,,,,1.0,1.0,,,,,,,
O=S(Cc1ccc(Br)cc1)Cc1nnc(SCc2ccc(Cl)cc2)n1-c1ccccc1,,,,,,,,,,,,1.0,,,,,,,,,,,
N#CC(C(=O)COC(=O)CSc1ccc2ccccc2c1)=C1Nc2ccccc2N1,,,,,,,,,,,,,,,,,1.0,,0.0,,,1.0,
O=C(O)c1ccccc1C(=O)NCCCCCCNC(=O)c1ccccc1C(=O)O,,,,,,,,,,,,,,,,,,,,0.0,,,
COc1ccccc1-c1nnc(NC(=O)C(C)C)s1,,,,,,,,,,,,,,,,,,1.0,,,,,
CCOC(=O)c1ccc(NC(=O)c2nc[nH]c2C(=O)N(CC)CC)cc1,,,,,1.0,,0.0,,,,,,,,,,,,,0.0,,,
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,,,,,,,1.0,,,,,,,,,,,,,,,,
CCC(NC(=O)OCc1ccccc1)C(=O)Oc1ccc2ccc(=O)oc2c1,,,,,,,,,,,,,,,,,,,,,,,1.0
COC(=O)Nc1nc2ccc(SC(C)C)cc2[nH]1,,,,,,,,,,,,,,,,1.0,,,,,,,
CC1(C)C(O)CC(=O)[C@]2(C)C1CC(=O)[C@]1(C)C2CC[C@@]2(C)C(c3ccoc3)OC(=O)C3O[C@@]321,,,0.0,,,,,,,,,,,,,,,,,,,,
CCCC(=O)NC1=CC(=O)/C(=C2\Nc3cc(C)c(C)cc3O2)C=C1,,,,,,1.0,,,0.0,,0.0,,,,,0.0,,,,,,,
CCNc1ncc2nc(-c3cccs3)c(=O)n(-c3ccc(OC)cc3)c2n1,,,,,,,,,0.0,,,,,,,,,,,,,,
COc1ccc(CCC(C)N2CCC(Oc3ccc(C(=O)N4CCCC4)cc3)CC2)cc1,,,,,,,,1.0,0.0,,,0.0,,,,,,0.0,,,,,0.0
CCOc1ccc(CC(=O)Nc2ccc(NC(=O)c3ccco3)cc2)cc1OCC,,,,,,,,,,,,,1.0,0.0,,,,,,,,,
O=C(Cc1cc(=O)[nH]c(=O)[nH]1)NCCN1CCOCC1,0.0,0.0,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,
O=C(NN1C(=O)/C(=C/c2cccs2)SC1=S)c1ccncc1,,,,,,,,,,,,,1.0,,,,,0.0,,,,,
C=CCn1c(SCC(=O)Nc2nccs2)nnc1-c1ccco1,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,,,,
Cc1ccc(S(=O)(=O)NC(=O)Nc2ccc(F)cc2)cc1,0.0,,,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,,,
CCOC(=O)C1C2C=CC(CC2)N1c1ccccc1,,,,,,,,,,,,,,,,,,,,,0.0,,
O=C(Cc1cnn(-c2ccccc2)c1)c1ccc(O)c(O)c1O,1.0,0.0,1.0,,,,,,1.0,,,0.0,,,0.0,,,,1.0,,,,
Cc1ccc(C)c2[nH]c(=O)c(CCNC(=O)c3ccc(S(=O)(=O)N(C)C)cc3)cc12,1.0,,,,,,,,0.0,,,,,,,,,,,,,,
O=[N+]([O-])c1ccccc1CSc1nc2ccccc2o1,,1.0,,0.0,0.0,,,,0.0,,,,,1.0,,,,,,,,,
COC(=O)c1ccc(C(=O)NC(=S)Nc2nc3c(s2)CC(C)CC3)cc1,,,,1.0,1.0,,,,,0.0,,,,0.0,,0.0,,,,,,,0.0
O=C(Nc1c(F)cc(F)cc1Br)c1cc2nc(C(F)F)cc(C(F)F)n2n1,,,,,,0.0,,,,,,,,,,,,,,,,,
CCCn1nc([N+](=O)[O-])c(C(C#N)c2nc3ccccc3s2)c(Cl)c1=O,,,1.0,,,,0.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,,1.0,,1.0,1.0
NC(=O)c1sc2nc(N3CCOCC3)c3c(c2c1N)CCCC3,,,,,,,,,,,,,,,,,,1.0,,,,,1.0
CC1CCN(S(=O)(=O)c2ccc3c(c2)n(C)c(=O)n3C)CC1,,,,,,,,,,,0.0,,,,,,,,,,,,
Cc1cccc(-n2cnc(C(=O)N/N=C\c3ccc(Br)cc3)c2)n1,,,,,,,,,,,,,,,,,,,,,0.0,,
CCn1c2ccccc2c2n[nH]c(=S)nc21,,,,1.0,1.0,0.0,,,1.0,0.0,,,0.0,,,0.0,,,,,,,
Cc1ccc(Cl)cc1NC(=S)N(Cc1cccnc1)Cc1ccccc1Cl,1.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,
Cc1nc(C)c(-c2csc(Nc3ccc(O)cc3C)n2)s1,,,,,,,,,,,,,,,,,,,,,,,1.0
C/C(=N\NC(=O)CSc1nc2ccccc2s1)c1ccco1,1.0,0.0,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,
COc1cccc2cc(C(=O)Nc3ccc(CC(=O)O)cc3)c(=O)oc12,,0.0,,,,,,,,,,1.0,,,,,,,,,,,
N#Cc1cccc(-n2nnnc2-c2ccccn2)c1,,,1.0,,,,,,,,,,,,,,,,,,,,
Cc1cc(CC(C)C)n(-c2nc3ccccc3c(=O)n2OCC(=O)N(C)C)n1,,,,1.0,1.0,,,0.0,,,,,,,,,,,,,,,
O=C(CSc1n[nH]c(=O)n1C1CC1)NCc1ccccc1Cl,0.0,0.0,,,,0.0,0.0,,,,,,,,,,0.0,,,,,,
C=Cc1ccc(CN2C(=O)N(c3cccc(Cl)c3)S(=O)(=O)c3ccccc32)cc1,,,,,,,,,0.0,,0.0,,,,,,,0.0,,,,,
COc1cc(NC(=O)Cn2cnc(C(=O)Nc3ccc(C)c(C)c3)n2)cc(OC)c1OC,,,,,,,,,,,,,,,0.0,0.0,,,,,,,
CC(C)(C)C(=O)CSc1nc2c(c(-c3cccs3)c1C#N)CCC2.CCO,,,,,,,,,,,,,,,1.0,,,,,,,,
COc1ccc(C=CC(=O)c2cc(O)ccc2O)cc1,,,,,,,,,,,,,,,,,,,,1.0,,,
CCc1nc2ccc(C(=O)NCCc3c[nH]c4ccccc34)cn2c1N(C=O)CCC(C)C,,,,,,,,,,,,,,,,,1.0,,0.0,,,,
COc1ccc(N2CCN(C(=O)c3ccc4c(=O)n(CC5CCCO5)c(=O)[nH]c4c3)CC2)cc1,,,,,,,,,,,,,,,,,,,,0.0,,,
CCn1nc(NC(=O)Cc2ccc(OC)cc2)c2cc3cc(C)ccc3nc21,,,,,,,,,,,,,,,,1.0,,,,0.0,,,
CCOC(=O)N1CCN(C(=O)c2ccc(S(=O)(=O)Nc3ccc(C)cc3)cc2)CC1,,,,,,,,,,,,1.0,,,,,,,,,,,
O=S1(=O)c2ccc(Br)cc2OC(COCc2ccccc2)CN1Cc1ccccc1,,,,,,,,,,,,,,,,,,,,,,,1.0
O=C(O)/C=C/C(=O)NCc1cn(-c2ccccc2)nc1-c1cccc(Br)c1,,,,,,,,,,0.0,,,,,,,,,,,,,
NS(=O)(=O)c1ccc(NC(=O)COC(=O)c2cc3ccccc3cc2O)cc1,,,,,,,,,,,,,,,,,,,,0.0,,,
CCCCCCCN1C2=NCCCN2c2ccccc21,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,
Cc1cc(C)c2nc(NNC(=O)c3ccc(S(=O)(=O)N4CCCC(C)C4)cc3)sc2c1,,,,1.0,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,
O=S(=O)(c1ccc(Cl)nc1)N1CCN(Cc2ccc3c(c2)OCO3)CC1,,,,,,,,,,,,,,,0.0,,,,,,,,
C=CC[C@@H](CC(=O)N[C@H](CO)Cc1ccccc1)C(=O)N[C@H](COC(=O)[C@@H](CC=C)Cc1ccc(F)cc1)Cc1ccccc1,,,,,,,,,,,,,,,,,,,,0.0,,1.0,
O=C(NCCOc1ccccc1Cl)C(=O)c1c[nH]c2ccccc12,,,,,,,,,,,,,,,,,,,1.0,,,,
O=C(O)c1ccc(N2CC3CC(C2)c2cccc(=O)n2C3)c(NC(=S)Nc2ccc(Cl)cc2Cl)c1,,,,,,,,,1.0,,,,,,,,,,,,,,
COc1ccc(C)cc1NC(=O)Nc1ccncc1,,,,,,,,,,,,,,,,,,,,,,0.0,
CCOC(=O)CC1C(=O)NCCN1c1nc2c(C)cccn2c(=O)c1/C=C1\SC(=S)N(CC(C)C)C1=O,,,1.0,,0.0,,,,0.0,,,,,,,,,,,,,,
CSc1ncccc1C(=O)OCC(=O)NC(C)C,0.0,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(/C(O)=C/C(=O)C(=O)NNC(=O)C(O)(c2ccccc2)c2ccccc2)cc1,,,,,0.0,,,,,,1.0,,,,0.0,0.0,,0.0,,,,,
CCOc1cc(N2CCOCC2)c(OCC)cc1NC(=O)c1c(-c2ccccc2Cl)noc1C,,,,,,,,,1.0,1.0,1.0,,,0.0,,,,,,,1.0,,
O=S(=O)(Nc1ccc(C(F)(F)F)cn1)c1ccccc1,,,,,,,,,,,,,,,,,,,,0.0,,,
O=C(CN1CCN(S(=O)(=O)c2ccc(F)cc2)CC1)c1ccc(O)c(O)c1,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
CSc1ccccc1OCc1cc(C(=O)N2CCN(c3ncccn3)CC2)no1,,,,0.0,,,0.0,1.0,1.0,,,,,0.0,0.0,,0.0,,,,,0.0,
Cc1cc(C)nc(N(C#N)Cc2ccccc2)n1,,,,,,,,,,,,,,,0.0,,,,,,,,
CCCCOc1ccc(Cn2c(=O)sc3ccccc32)cc1,,,,,,,,,,,,,,,,,1.0,,,,,,
CCOc1cccc(NC2CCCCC2)c2c(C)[nH+]c(C)c1-2.[O-][Cl+3]([O-])([O-])[O-],,,1.0,,0.0,0.0,,,0.0,,,,1.0,,,,,,,1.0,,1.0,
CC(NCc1ccc2c(c1)OCO2)C(=O)N1CCc2ccccc21,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,
CC(O)(CS(=O)(=O)c1cccc(C(F)(F)F)c1)C(=O)Nc1ccc(C(F)(F)F)cc1,,,,,,,,,0.0,,,,,,,,,0.0,,,,,
Fc1cccc(F)c1-n1c(CN2CCCCC2)csc1=S,,,,,,,,,,,,,,,,1.0,,,,,,,
Cc1cc(C(=O)NCCCN2CCOCC2)n(-c2ccccc2)n1,,,,,,,,,,0.0,,0.0,,0.0,,,,0.0,,0.0,,,
Cc1cc(/C=C2\SC(=S)N(Cc3ccco3)C2=O)c(C)n1-c1cccnc1,,,,,,,,,,,,,,,,,,,,,,,1.0
CCOc1ccc(/C=C2\SC(=S)N(C)C2=O)cc1OC,,,,,,,,,,,,,,,0.0,,,,,,,,
COC(=O)c1[nH]c2ccc(Br)cc2c1NC(=O)CN1CCCc2ccccc21,,,,,,,,,,,,,1.0,,,,1.0,0.0,,,,,
c1ccc(CNc2cccc[nH+]2)cc1,,,,,,,,,,,,0.0,,,,,,,,,,,
Nc1nc2ccc([N+](=O)[O-])c(N)c2s1,,,1.0,,0.0,0.0,,,0.0,0.0,,,,,,,,,0.0,,,,1.0
CCN(CC)CCCn1c2c(c(SCC(=O)Nc3cccc(C)c3C)nc1=O)CCC2,,,,,,,,,,,,,,,,,,,,,,0.0,
CCN(CC)C(=O)C1CCCN(C(=O)Nc2ccccc2)C1,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,
Cc1ccc(-c2cnc3c(Cl)c(C)nn3c2)cc1,,1.0,,,,1.0,,,0.0,,0.0,,,1.0,,1.0,,,0.0,,,,
COc1ccccc1-c1nnc(NC(=O)c2ccc(S(=O)(=O)N3CCOCC3)cc2)o1,,,,1.0,1.0,,0.0,,0.0,,1.0,,,,,,,,,,,,0.0
C#CCNC(=O)C[C@@H]1C[C@@]2(C(=O)OCC)CCCC=C2N(Cc2ccco2)C1=O,,,,,,,,,,,,,,,,,,,,0.0,,0.0,
Cc1nc(CCNC(=O)CC2C(=O)NCCN2Cc2ccc(F)cc2)sc1C,,,,,,,,1.0,,,,,,,,,,,,0.0,,,
CCc1nc2ccc(C(=O)NCCc3ccc(OC)cc3OC)cc2nc1CC,,,,,,,,,,,,,,,,,,1.0,,,,,
COc1cc(C2CC(=O)N3CN(Cc4ccco4)CSC3=C2C#N)ccc1OCc1ccccc1,1.0,0.0,1.0,,0.0,,0.0,,,1.0,1.0,,,0.0,,,0.0,,0.0,,,,
COc1ccc(/C=N/NC(=O)CCn2cnc(-c3ccccc3)c2-c2ccccc2)cc1OC,1.0,,,1.0,,0.0,,,,1.0,,,,,1.0,1.0,,,,1.0,,1.0,
CCOc1ccccc1CNc1ccc(O)cc1,,,1.0,0.0,0.0,,0.0,,0.0,1.0,1.0,,,,,,,,,1.0,,1.0,
CC1CC(C)CN(CCCNC(=O)CCNC(=O)Cn2ccc3ccccc3c2=O)C1,,,,,,,,,,,,,0.0,,,0.0,,,,,,,
CC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(S(=O)(=O)N3CCCC3)cc2)cc1,1.0,0.0,,0.0,,,,,,0.0,,0.0,0.0,,,,,,,,,,
O=C1C=CC(Cl)=C/C1=C1\C=C(c2ccccc2[N+](=O)[O-])NN1,,,,,,,,,,,,,,,,,,,1.0,,,,
Cc1oc(C)c2c(=O)ccc3c(c12)OC(N)=C(C#N)C3c1ccccc1,,,1.0,,,,0.0,1.0,1.0,,,,,,,,0.0,,,,,,
Cc1c(Cl)cccc1NC(=O)CNc1cccc(S(=O)(=O)N(C)C)c1,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,,
COc1ccc2c(c1)NC(c1ccc(N(C)C)cc1)c1cccn1-2,,,,,,,,,,,,,,,,1.0,0.0,,,,1.0,,
Cc1sc2ncnc(N3CCC(C(=O)NNC(=O)c4ccccc4Cl)CC3)c2c1C,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,0.0
